"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 11- 14","4,508.55","4,528.05","4,560.88","4,492.03","132.89M","0.43%"
"2016- 11- 11","4,489.27","4,545.05","4,553.79","4,473.35","124.80M","-0.92%"
"2016- 11- 10","4,530.95","4,577.01","4,606.66","4,502.74","225.21M","-0.28%"
"2016- 11- 09","4,543.48","4,350.07","4,543.48","4,344.88","204.61M","1.49%"
"2016- 11- 08","4,476.89","4,454.58","4,482.59","4,446.39","116.29M","0.35%"
"2016- 11- 07","4,461.21","4,440.11","4,464.23","4,430.13","89.70M","1.91%"
"2016- 11- 04","4,377.46","4,403.16","4,403.64","4,355.81","101.73M","-0.78%"
"2016- 11- 03","4,411.68","4,402.79","4,456.21","4,399.29","101.39M","-0.07%"
"2016- 11- 02","4,414.67","4,437.99","4,449.44","4,414.67","96.99M","-1.24%"
"2016- 11- 01","4,470.28","4,532.34","4,537.99","4,460.54","81.80M","-0.86%"
"2016- 10- 31","4,509.26","4,525.60","4,540.26","4,500.19","91.10M","-0.86%"
"2016- 10- 28","4,548.58","4,515.25","4,554.35","4,504.50","99.28M","0.33%"
"2016- 10- 27","4,533.57","4,526.34","4,556.74","4,502.55","102.79M","-0.02%"
"2016- 10- 26","4,534.59","4,523.96","4,539.07","4,496.97","92.74M","-0.14%"
"2016- 10- 25","4,540.84","4,560.46","4,570.63","4,528.03","93.91M","-0.26%"
"2016- 10- 24","4,552.58","4,551.73","4,579.28","4,551.73","86.42M","0.36%"
"2016- 10- 21","4,536.07","4,546.65","4,555.11","4,517.80","107.42M","-0.09%"
"2016- 10- 20","4,540.12","4,528.66","4,552.24","4,500.65","99.87M","0.44%"
"2016- 10- 19","4,520.30","4,513.49","4,528.97","4,495.94","85.90M","0.25%"
"2016- 10- 18","4,508.91","4,479.68","4,515.61","4,474.84","90.35M","1.32%"
"2016- 10- 17","4,450.23","4,452.72","4,474.33","4,439.91","71.56M","-0.46%"
"2016- 10- 14","4,470.92","4,424.25","4,497.65","4,424.25","94.97M","1.49%"
"2016- 10- 13","4,405.17","4,421.81","4,421.81","4,370.65","110.10M","-1.06%"
"2016- 10- 12","4,452.24","4,467.09","4,474.20","4,442.02","102.31M","-0.44%"
"2016- 10- 11","4,471.74","4,490.83","4,520.18","4,469.30","101.65M","-0.57%"
"2016- 10- 10","4,497.26","4,458.07","4,500.46","4,428.73","90.18M","1.06%"
"2016- 10- 07","4,449.91","4,480.53","4,487.18","4,444.32","121.06M","-0.67%"
"2016- 10- 06","4,480.10","4,500.36","4,511.88","4,470.12","102.18M","-0.22%"
"2016- 10- 05","4,489.95","4,462.72","4,499.38","4,441.25","101.32M","-0.29%"
"2016- 10- 04","4,503.09","4,458.67","4,521.36","4,453.67","98.84M","1.11%"
"2016- 10- 03","4,453.56","4,447.54","4,465.29","4,432.77","63.62M","0.12%"
"2016- 09- 30","4,448.26","4,383.70","4,463.39","4,342.64","126.88M","0.10%"
"2016- 09- 29","4,443.84","4,490.55","4,505.30","4,434.09","82.92M","0.26%"
"2016- 09- 28","4,432.45","4,413.12","4,460.83","4,413.12","80.89M","0.77%"
"2016- 09- 27","4,398.68","4,436.00","4,438.59","4,362.93","94.61M","-0.21%"
"2016- 09- 26","4,407.85","4,455.59","4,455.59","4,402.13","88.90M","-1.80%"
"2016- 09- 23","4,488.69","4,494.50","4,498.35","4,476.86","87.63M","-0.47%"
"2016- 09- 22","4,509.82","4,444.50","4,528.89","4,443.67","116.20M","2.27%"
"2016- 09- 21","4,409.55","4,439.70","4,451.32","4,408.30","84.82M","0.48%"
"2016- 09- 20","4,388.60","4,383.31","4,419.90","4,375.57","75.06M","-0.13%"
"2016- 09- 19","4,394.19","4,368.85","4,398.97","4,368.85","83.24M","1.43%"
"2016- 09- 16","4,332.45","4,359.87","4,380.13","4,310.88","214.51M","-0.93%"
"2016- 09- 15","4,373.22","4,357.29","4,381.54","4,341.04","105.47M","0.07%"
"2016- 09- 14","4,370.26","4,407.45","4,407.48","4,360.95","110.47M","-0.39%"
"2016- 09- 13","4,387.18","4,463.26","4,470.26","4,387.18","94.79M","-1.19%"
"2016- 09- 12","4,439.80","4,415.23","4,439.80","4,386.11","101.41M","-1.15%"
"2016- 09- 09","4,491.40","4,531.42","4,541.76","4,481.09","93.65M","-1.12%"
"2016- 09- 08","4,542.20","4,554.15","4,569.62","4,485.47","97.49M","-0.34%"
"2016- 09- 07","4,557.66","4,536.95","4,561.36","4,520.21","77.78M","0.61%"
"2016- 09- 06","4,529.96","4,556.35","4,557.95","4,523.44","73.48M","-0.24%"
"2016- 09- 05","4,541.08","4,550.82","4,566.55","4,541.08","75.72M","-0.02%"
"2016- 09- 02","4,542.17","4,461.29","4,548.04","4,446.50","108.75M","2.31%"
"2016- 09- 01","4,439.67","4,448.03","4,490.91","4,421.97","110.78M","0.03%"
"2016- 08- 31","4,438.22","4,451.40","4,486.84","4,438.22","116.00M","-0.43%"
"2016- 08- 30","4,457.49","4,439.68","4,475.02","4,438.42","78.31M","0.75%"
"2016- 08- 29","4,424.25","4,421.46","4,437.82","4,390.04","50.03M","-0.40%"
"2016- 08- 26","4,441.87","4,399.46","4,455.61","4,387.71","73.99M","0.80%"
"2016- 08- 25","4,406.61","4,414.41","4,415.31","4,377.79","66.04M","-0.65%"
