"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 08- 05","1,496.48","1,483.41","1,503.05","1,479.57","","1.11%"
"2024- 08- 02","1,480.08","1,478.70","1,487.69","1,475.35","","0.18%"
"2024- 08- 01","1,477.37","1,482.54","1,484.22","1,472.31","","-0.31%"
"2024- 07- 31","1,482.03","1,497.21","1,499.81","1,479.71","","-0.90%"
"2024- 07- 30","1,495.51","1,495.30","1,500.80","1,492.43","","0.13%"
"2024- 07- 29","1,493.64","1,504.42","1,505.73","1,493.39","","-0.57%"
"2024- 07- 26","1,502.17","1,500.91","1,507.53","1,497.69","","0.22%"
"2024- 07- 25","1,498.88","1,499.82","1,505.84","1,495.61","","0.06%"
"2024- 07- 24","1,498.00","1,504.45","1,506.88","1,495.84","","-0.29%"
"2024- 07- 23","1,502.42","1,511.81","1,512.81","1,502.69","","-0.53%"
"2024- 07- 22","1,510.43","1,512.31","1,515.43","1,508.83","","-0.01%"
"2024- 07- 19","1,510.59","1,509.98","1,515.36","1,507.49","","0.15%"
"2024- 07- 18","1,508.39","1,509.22","1,512.95","1,505.12","","0.05%"
"2024- 07- 17","1,507.68","1,508.25","1,510.90","1,503.36","","0.06%"
"2024- 07- 16","1,506.80","1,509.48","1,512.06","1,505.49","","-0.07%"
"2024- 07- 15","1,507.91","1,497.27","1,511.94","1,495.82","","0.65%"
"2024- 07- 12","1,498.12","1,491.33","1,501.43","1,488.82","","0.55%"
"2024- 07- 11","1,489.96","1,498.88","1,504.81","1,489.52","","-0.51%"
"2024- 07- 10","1,497.58","1,496.62","1,501.28","1,495.06","","0.16%"
"2024- 07- 09","1,495.21","1,499.57","1,501.96","1,494.19","","-0.12%"
"2024- 07- 08","1,496.97","1,488.82","1,502.49","1,487.86","","0.36%"
"2024- 07- 05","1,491.65","1,493.92","1,497.71","1,488.57","","-0.03%"
"2024- 07- 04","1,492.16","1,496.90","1,498.10","1,488.14","","-0.23%"
"2024- 07- 03","1,495.66","1,490.11","1,499.19","1,488.28","","0.44%"
"2024- 07- 02","1,489.15","1,486.13","1,492.63","1,483.59","","0.31%"
"2024- 07- 01","1,484.53","1,482.04","1,488.90","1,480.25","","0.36%"
"2024- 06- 28","1,479.18","1,485.33","1,487.28","1,470.26","","-0.30%"
"2024- 06- 27","1,483.67","1,489.20","1,490.75","1,480.86","","-0.26%"
"2024- 06- 26","1,487.48","1,491.01","1,492.32","1,484.38","","-0.14%"
"2024- 06- 25","1,489.58","1,488.58","1,492.77","1,485.49","","0.12%"
"2024- 06- 24","1,487.85","1,484.04","1,491.17","1,483.31","","0.34%"
"2024- 06- 21","1,482.85","1,490.40","1,492.35","1,482.51","","-0.44%"
"2024- 06- 20","1,489.37","1,485.30","1,492.30","1,482.69","","0.39%"
"2024- 06- 19","1,483.58","1,481.86","1,487.02","1,479.41","","0.22%"
"2024- 06- 18","1,480.38","1,481.32","1,486.53","1,478.82","","0.05%"
"2024- 06- 17","1,479.64","1,480.45","1,483.55","1,474.35","","0.07%"
"2024- 06- 14","1,478.57","1,477.94","1,483.42","1,476.47","","0.14%"
"2024- 06- 13","1,476.44","1,482.01","1,487.31","1,476.54","","-0.27%"
"2024- 06- 12","1,480.39","1,481.19","1,489.65","1,475.67","","0.07%"
"2024- 06- 11","1,479.30","1,479.98","1,485.54","1,477.81","","0.06%"
"2024- 06- 10","1,478.41","1,490.06","1,490.95","1,476.34","","-0.72%"
"2024- 06- 07","1,489.10","1,486.79","1,494.17","1,479.71","","0.29%"
"2024- 06- 06","1,484.81","1,489.02","1,491.73","1,484.10","","-0.16%"
"2024- 06- 05","1,487.13","1,495.37","1,499.29","1,487.96","","-0.42%"
"2024- 06- 04","1,493.47","1,495.70","1,503.14","1,493.28","","-0.03%"
"2024- 06- 03","1,493.97","1,500.81","1,501.85","1,491.01","","-0.26%"
"2024- 05- 31","1,497.88","1,490.78","1,504.40","1,488.16","","0.61%"
"2024- 05- 30","1,488.84","1,481.58","1,492.28","1,478.66","","0.62%"
"2024- 05- 29","1,479.69","1,480.81","1,485.68","1,477.48","","0.05%"
"2024- 05- 28","1,478.91","1,478.31","1,482.11","1,473.91","","0.16%"
"2024- 05- 27","1,476.61","1,484.01","1,484.90","1,477.23","","-0.32%"
"2024- 05- 24","1,481.35","1,480.22","1,485.52","1,477.06","","0.19%"
"2024- 05- 23","1,478.50","1,478.66","1,482.60","1,473.70","","0.12%"
"2024- 05- 22","1,476.77","1,481.03","1,484.70","1,476.39","","-0.16%"
"2024- 05- 21","1,479.13","1,478.14","1,485.76","1,475.24","","0.20%"
"2024- 05- 20","1,476.25","1,470.42","1,480.40","1,470.07","","0.47%"
"2024- 05- 17","1,469.36","1,466.80","1,475.57","1,463.62","","0.29%"
"2024- 05- 16","1,465.13","1,473.11","1,475.17","1,459.97","","-0.49%"
"2024- 05- 15","1,472.29","1,477.45","1,478.53","1,467.50","","-0.28%"
"2024- 05- 14","1,476.43","1,474.78","1,480.44","1,472.21","","0.18%"
"2024- 05- 13","1,473.76","1,477.17","1,478.93","1,472.54","","-0.08%"
"2024- 05- 10","1,474.98","1,472.91","1,478.06","1,470.09","","0.22%"
"2024- 05- 09","1,471.70","1,467.09","1,475.30","1,465.35","","0.37%"
"2024- 05- 08","1,466.22","1,462.08","1,469.95","1,458.59","","0.35%"
"2024- 05- 07","1,461.12","1,459.74","1,465.28","1,456.94","","0.15%"
"2024- 05- 06","1,458.97","1,459.46","1,465.56","1,457.75","","0.11%"
"2024- 05- 03","1,457.31","1,467.42","1,472.46","1,455.05","","-0.58%"
"2024- 05- 02","1,465.84","1,476.75","1,482.29","1,464.96","","-0.62%"
"2024- 05- 01","1,475.03","1,478.27","1,483.14","1,475.63","","-0.16%"
"2024- 04- 30","1,477.37","1,474.66","1,483.69","1,471.13","","0.26%"
"2024- 04- 29","1,473.51","1,473.70","1,483.59","1,472.24","","0.12%"
"2024- 04- 26","1,471.68","1,472.26","1,480.02","1,468.61","","0.02%"
"2024- 04- 25","1,471.39","1,474.10","1,477.40","1,470.31","","-0.11%"
"2024- 04- 24","1,473.01","1,470.14","1,474.92","1,464.05","","0.27%"
"2024- 04- 23","1,469.03","1,469.68","1,474.52","1,465.29","","0.03%"
"2024- 04- 22","1,468.62","1,465.12","1,475.86","1,464.47","","0.30%"
"2024- 04- 19","1,464.18","1,469.43","1,479.81","1,464.26","","-0.27%"
"2024- 04- 18","1,468.11","1,473.02","1,475.62","1,463.68","","-0.22%"
"2024- 04- 17","1,471.38","1,475.98","1,478.59","1,468.46","","-0.26%"
"2024- 04- 16","1,475.23","1,474.67","1,486.48","1,473.89","","0.14%"
"2024- 04- 15","1,473.18","1,468.54","1,479.31","1,467.84","","0.33%"
"2024- 04- 12","1,468.27","1,467.84","1,475.68","1,465.57","","0.16%"
"2024- 04- 11","1,465.98","1,465.51","1,472.31","1,462.92","","0.11%"
"2024- 04- 10","1,464.32","1,468.31","1,470.41","1,456.15","","-0.15%"
"2024- 04- 09","1,466.54","1,471.43","1,473.23","1,465.92","","-0.22%"
"2024- 04- 08","1,469.80","1,465.18","1,472.10","1,462.92","","0.42%"
"2024- 04- 05","1,463.71","1,464.79","1,467.80","1,458.17","","-0.01%"
"2024- 04- 04","1,463.90","1,457.96","1,465.37","1,455.41","","0.47%"
"2024- 04- 03","1,457.03","1,455.94","1,462.73","1,450.82","","0.12%"
"2024- 04- 02","1,455.24","1,454.32","1,457.56","1,446.76","","0.09%"
"2024- 04- 01","1,453.89","1,452.45","1,456.81","1,449.48","","0.17%"
"2024- 03- 29","1,451.49","1,457.60","1,457.99","1,448.33","","-0.29%"
"2024- 03- 28","1,455.68","1,462.31","1,462.80","1,453.41","","-0.39%"
"2024- 03- 27","1,461.32","1,455.93","1,465.62","1,452.91","","0.48%"
"2024- 03- 26","1,454.35","1,451.83","1,458.57","1,446.81","","0.25%"
"2024- 03- 25","1,450.77","1,453.58","1,455.56","1,444.19","","-0.06%"
"2024- 03- 22","1,451.58","1,450.25","1,457.43","1,444.92","","0.19%"
"2024- 03- 21","1,448.80","1,453.01","1,455.96","1,444.23","","-0.19%"
"2024- 03- 20","1,451.60","1,453.31","1,458.27","1,451.49","","-0.09%"
"2024- 03- 19","1,452.91","1,453.73","1,458.30","1,450.97","","0.02%"
"2024- 03- 18","1,452.59","1,449.84","1,455.57","1,447.35","","0.27%"
"2024- 03- 15","1,448.66","1,441.68","1,451.67","1,439.06","","0.60%"
"2024- 03- 14","1,440.02","1,438.49","1,443.38","1,436.11","","0.14%"
"2024- 03- 13","1,437.94","1,434.15","1,441.49","1,430.68","","0.36%"
"2024- 03- 12","1,432.82","1,433.16","1,436.94","1,428.78","","0.05%"
"2024- 03- 11","1,432.11","1,441.88","1,442.94","1,429.49","","-0.50%"
"2024- 03- 08","1,439.31","1,449.74","1,452.94","1,438.05","","-0.62%"
"2024- 03- 07","1,448.25","1,449.69","1,453.10","1,442.24","","0.00%"
"2024- 03- 06","1,448.25","1,451.13","1,452.69","1,446.83","","-0.09%"
"2024- 03- 05","1,449.58","1,446.07","1,452.92","1,443.88","","0.35%"
"2024- 03- 04","1,444.55","1,444.13","1,447.67","1,439.96","","0.19%"
"2024- 03- 01","1,441.88","1,443.34","1,446.63","1,441.20","","0.00%"
"2024- 02- 29","1,441.90","1,447.19","1,450.23","1,441.71","","-0.25%"
"2024- 02- 28","1,445.58","1,445.04","1,449.60","1,441.93","","0.08%"
"2024- 02- 27","1,444.48","1,445.48","1,446.89","1,442.44","","-0.03%"
"2024- 02- 26","1,444.98","1,440.94","1,446.83","1,437.07","","0.43%"
"2024- 02- 23","1,438.74","1,437.03","1,443.70","1,436.05","","0.16%"
"2024- 02- 22","1,436.50","1,442.56","1,444.64","1,434.76","","-0.38%"
"2024- 02- 21","1,441.95","1,441.51","1,445.84","1,439.83","","0.07%"
"2024- 02- 20","1,440.89","1,438.88","1,444.60","1,437.86","","0.25%"
"2024- 02- 19","1,437.35","1,436.06","1,441.14","1,434.74","","0.21%"
