"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 05- 23","188.80","188.74","189.13","187.85","","0.18%"
"2024- 05- 22","188.46","188.51","189.03","187.87","","0.08%"
"2024- 05- 21","188.31","188.18","189.10","187.82","","0.19%"
"2024- 05- 20","187.95","187.40","188.35","187.22","","0.46%"
"2024- 05- 17","187.09","186.97","188.21","186.62","","0.17%"
"2024- 05- 16","186.77","187.48","187.65","186.07","","-0.33%"
"2024- 05- 15","187.39","188.77","188.98","187.32","","-0.67%"
"2024- 05- 14","188.66","188.98","189.58","188.51","","-0.11%"
"2024- 05- 13","188.87","189.73","190.01","188.72","","-0.34%"
"2024- 05- 10","189.51","189.17","189.85","188.84","","0.28%"
"2024- 05- 09","188.99","188.94","190.09","188.73","","0.09%"
"2024- 05- 08","188.82","188.32","189.41","188.01","","0.32%"
"2024- 05- 07","188.22","188.03","188.64","187.71","","0.16%"
"2024- 05- 06","187.92","187.43","188.66","187.05","","0.47%"
"2024- 05- 03","187.05","188.91","189.58","186.06","","-0.88%"
"2024- 05- 02","188.72","190.37","191.07","188.73","","-0.76%"
"2024- 05- 01","190.17","191.41","191.71","190.40","","-0.59%"
"2024- 04- 30","191.30","190.19","191.54","189.87","","0.65%"
"2024- 04- 29","190.07","190.18","191.06","189.73","","0.07%"
"2024- 04- 26","189.94","189.53","190.36","189.20","","0.28%"
"2024- 04- 25","189.41","190.15","190.43","189.36","","-0.33%"
"2024- 04- 24","190.04","189.62","190.26","188.68","","0.28%"
"2024- 04- 23","189.50","190.43","190.54","189.29","","-0.44%"
"2024- 04- 22","190.33","189.98","191.12","189.84","","0.27%"
"2024- 04- 19","189.81","190.71","192.46","189.88","","-0.39%"
"2024- 04- 18","190.55","190.65","191.11","189.53","","0.04%"
"2024- 04- 17","190.47","192.04","192.37","190.60","","-0.78%"
"2024- 04- 16","191.96","191.77","193.56","191.66","","0.19%"
"2024- 04- 15","191.60","190.76","192.22","190.70","","0.51%"
"2024- 04- 12","190.63","189.09","191.58","188.79","","0.93%"
"2024- 04- 11","188.88","188.55","189.49","188.20","","0.22%"
"2024- 04- 10","188.46","187.00","188.91","186.15","","0.89%"
"2024- 04- 09","186.79","187.38","187.61","186.74","","-0.23%"
"2024- 04- 08","187.22","186.80","187.65","186.76","","0.26%"
"2024- 04- 05","186.73","186.85","187.50","186.40","","-0.02%"
"2024- 04- 04","186.76","186.00","186.90","185.66","","0.47%"
"2024- 04- 03","185.88","186.91","187.13","185.95","","-0.50%"
"2024- 04- 02","186.82","187.21","187.57","186.26","","-0.18%"
